City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,8.45,69,100,2.12,RU,1687870107
1,nar'yan-mar,67.6713,53.087,10.17,87,100,1.86,RU,1687870108
2,bakal,54.9417,58.8083,17.53,43,27,4.2,RU,1687870108
3,port-aux-francais,-49.35,70.2167,2.16,82,98,14.69,TF,1687870108
4,vorkuta,67.5,64.0,12.41,55,100,2.89,RU,1687870108
5,kulachi,31.9286,70.4592,38.91,33,5,4.53,PK,1687870108
6,waitangi,-43.9535,-176.5597,12.12,94,100,1.79,NZ,1687870108
7,keflavik,64.0049,-22.5624,11.29,77,100,8.62,IS,1687870108
8,hermanus,-34.4187,19.2345,15.45,92,100,6.06,ZA,1687870108
9,chonchi,-42.6128,-73.8092,6.73,94,100,2.28,CL,1687870108
10,avarua,-21.2078,-159.775,24.59,80,0,1.58,CK,1687870108
11,adamstown,-25.066,-130.1015,21.34,80,78,11.62,PN,1687870108
12,kone,-21.0595,164.8658,18.97,76,68,2.36,NC,1687870108
13,udachny,66.4167,112.4,23.03,24,100,4.08,RU,1687870109
14,fort bragg,35.139,-79.006,24.55,90,1,2.64,US,1687870109
15,bonthe,7.5264,-12.505,25.29,86,100,4.52,SL,1687870109
16,camarinas,43.1311,-9.1817,27.32,74,56,9.93,ES,1687870109
17,wailua homesteads,22.0669,-159.378,22.64,84,54,1.34,US,1687870109
18,west island,-12.1568,96.8225,26.09,72,26,10.61,CC,1687870109
19,zhangatas,43.5667,69.75,31.24,23,15,9.54,KZ,1687870109
20,novodvinsk,64.4165,40.8122,23.55,40,75,3.14,RU,1687870109
21,kailua-kona,19.6406,-155.9956,23.61,81,4,2.68,US,1687870109
22,coquimbo,-29.9533,-71.3436,15.11,77,97,2.0,CL,1687870109
23,anadyr,64.75,177.4833,7.78,93,100,3.58,RU,1687870109
24,isafjordur,66.0755,-23.124,12.36,70,99,5.06,IS,1687870110
25,bredasdorp,-34.5322,20.0403,13.08,97,100,3.95,ZA,1687870110
26,albany,42.6001,-73.9662,21.26,94,100,0.89,US,1687869910
27,papatowai,-46.5619,169.4708,10.4,98,100,3.99,NZ,1687870110
28,utrik,11.2278,169.8474,27.91,79,52,8.56,MH,1687870110
29,yellowknife,62.456,-114.3525,15.87,63,6,2.68,CA,1687870110
30,olonkinbyen,70.9221,-8.7187,6.2,92,0,5.36,SJ,1687870110
31,taro,-8.3862,115.28,21.59,98,69,0.44,ID,1687870110
32,whitehorse,60.7161,-135.0538,11.84,76,100,4.47,CA,1687870110
33,cabinda,-5.55,12.2,24.94,72,54,5.87,AO,1687870110
34,thompson,55.7435,-97.8558,15.11,38,100,2.75,CA,1687870110
35,ribeira grande,38.5167,-28.7,23.21,77,3,3.13,PT,1687870111
36,kayangel,8.0823,134.7173,28.96,70,77,2.17,PW,1687870111
37,st. john's,47.5649,-52.7093,13.42,79,100,2.68,CA,1687870111
38,cestos city,5.46,-9.5828,26.14,70,93,5.72,LR,1687870111
39,zhangye,38.9342,100.4517,23.13,19,100,1.34,CN,1687870111
40,ushuaia,-54.8,-68.3,-7.43,92,14,1.5,AR,1687869866
41,saipan,15.1355,145.701,27.03,100,100,1.79,MP,1687870111
42,shubarshi,48.5872,57.1869,24.14,30,61,5.19,KZ,1687870111
43,hithadhoo,-0.6,73.0833,28.37,70,20,3.08,MV,1687870111
44,bethel,41.3712,-73.414,22.2,89,100,1.96,US,1687870028
45,dunedin,-45.8742,170.5036,11.0,95,100,0.89,NZ,1687869940
46,seven pagodas,12.6264,80.1722,32.25,67,100,7.0,IN,1687870111
47,puerto natales,-51.7236,-72.4875,0.14,98,100,2.02,CL,1687870111
48,pisco,-13.7,-76.2167,17.79,79,100,1.32,PE,1687870111
49,grytviken,-54.2811,-36.5092,-4.17,92,100,4.05,GS,1687870112
50,atafu village,-8.5421,-172.5159,28.17,80,29,6.94,TK,1687870112
51,as salimiyah,29.3339,48.0761,39.98,34,2,0.89,KW,1687870112
52,rocha,-34.4833,-54.3333,11.56,84,100,2.5,UY,1687870112
53,ayapa,18.1833,-93.1667,23.88,86,100,1.3,MX,1687870112
54,hluti,-27.2167,31.6167,22.76,28,0,2.55,SZ,1687870112
55,banda aceh,5.5577,95.3222,27.47,80,100,4.37,ID,1687869883
